x0,x1,Start,Duration
-0.8319,-1.4381,97.5488,91.2104
-0.2507,-0.9972,97.9090,96.0530
-0.9889,0.1477,98.2228,97.5488
-0.0667,-0.1591,98.8806,99.3365
-0.8319,-1.3375,99.5455,91.7463
-0.9889,-0.0646,99.6372,96.7960
-0.4468,0.0906,99.8950,98.9594
-1.4009,0.7769,99.8953,98.4480
-1.0190,-0.3242,100.0194,95.6756
-0.5567,-1.1340,100.3156,94.1825
-1.0190,-0.3242,100.7234,95.6756
-1.7137,1.7532,101.0746,100.0717
2.7216,-2.8743,101.3009,99.8719
-0.1434,-1.4628,101.3649,94.8569
-0.5433,0.0906,102.3403,98.6768
-0.6632,-0.1387,102.3998,97.5762
-1.0604,-0.3242,102.9706,95.5230
0.4111,-3.0844,103.1388,92.9347
-0.5215,-0.4498,103.2230,96.9751
0.0073,-0.9972,103.7195,97.0319
-0.5215,0.2749,104.0852,99.2926
-1.0190,-0.3242,104.6382,95.6756
-0.2507,-1.8324,104.8707,92.8887
2.0588,0.0472,105.0991,106.7918
-1.4435,-0.3242,105.2504,94.0507
-1.2578,-0.4373,105.3664,94.2415
-1.3859,-0.9972,106.0634,90.4546
0.8405,-0.0553,106.1736,102.3198
0.3188,1.1101,106.7573,104.6382
-0.0198,1.8700,106.9409,105.7686
-0.9313,-0.6107,110.4118,94.7885
0.9403,0.4862,114.3254,104.7071
-0.9524,-2.4287,188.7592,84.1822
1.1354,-0.5406,191.2918,101.5947
-0.1434,-1.8517,193.9619,93.4248
-0.1434,-1.4628,194.4981,94.8569
-1.1517,-1.4381,195.6951,89.0926
1.8968,0.0559,195.7716,106.2609
2.9283,-0.5037,196.0735,106.1577
2.7640,0.6144,196.2219,114.3254
-0.0749,-1.2978,196.3991,95.7358
-0.0204,-0.5467,196.4332,98.3214
1.1354,-0.3265,196.5180,102.2712
-0.2212,-1.4628,197.7594,94.4860
-0.2201,-1.4628,198.2170,94.4912
-0.9313,-0.8985,198.3433,93.4466
1.9334,-0.0553,198.4936,105.7979
-0.2922,-2.2251,198.8544,90.9922
0.2803,0.9676,199.3011,103.9605
1.6756,0.9129,199.6079,110.6828
3.5640,0.6144,199.9760,118.1795
2.7293,0.6144,200.1982,114.1436
-0.1235,1.8700,200.3138,105.2504
-0.4674,1.8700,200.7515,103.7359
-1.1893,-1.8324,201.0171,86.0874
1.6299,0.9129,201.1463,110.4118
1.4713,0.6976,201.1727,108.1381
-0.0244,0.9676,203.3778,102.8149
-0.1434,-1.4628,205.2003,94.8569
0.2970,-1.8267,208.4933,95.6751
-0.1235,1.5002,211.3955,104.0885
-0.3918,-1.8324,211.8909,92.0377
2.5015,0.6144,212.7095,112.9389
-0.1434,-1.4628,219.0325,94.8569
-0.9524,-2.9457,272.9414,80.7988
-1.1517,-1.4381,284.7876,89.0926
1.6299,1.2426,287.1045,112.8967
-1.6058,-0.7414,287.3867,90.8934
1.3836,0.3491,289.3550,105.8350
2.7252,0.0472,289.8466,109.1786
-1.1893,-1.8324,291.7899,86.0874
0.9403,1.1941,292.1348,108.1207
1.6299,1.3700,292.2454,113.9313
-0.9524,-2.4287,292.7082,84.1822
-1.0763,-0.8985,292.8865,92.7255
0.5461,-1.4628,294.7545,97.5860
-0.9313,-0.2979,298.7891,96.0986
-1.1893,-2.5876,300.0573,80.4004
-1.4737,-1.0376,302.0324,89.6583
-0.0583,0.3435,302.2312,100.8349
1.6299,0.9129,303.2616,110.4118
0.9403,0.8008,303.9286,106.1245
-0.2212,-1.1001,304.1685,95.8097
-1.0079,-2.7432,304.2915,81.4535
-0.2922,-2.2251,304.4873,90.9922
-0.7295,-0.9131,305.5642,94.3310
1.6299,0.9129,306.1927,110.4118
-0.2922,-1.9775,309.3108,92.0402
2.7226,-0.1997,310.2907,107.4591
1.6756,0.9129,310.5472,110.6828
1.4713,1.0383,311.5581,110.3316
1.7607,0.1190,313.8894,106.1047
-0.9524,-2.4287,314.3418,84.1822
1.9334,0.4717,315.4840,108.9426
1.9442,0.6144,318.1555,110.0007
3.5640,0.6144,325.6484,118.1795
1.9334,-0.0553,353.7402,105.7979
-0.9524,-3.1947,373.8802,79.2514
1.9362,0.9129,376.8904,112.2721
1.6084,-0.0553,377.8773,104.7277
-1.1893,-1.6484,378.2801,87.3947
1.9334,-0.0553,380.4577,105.7979
-2.3988,-2.2132,385.6120,68.7529
-1.1893,-2.5876,385.7450,80.4004
-0.7585,-2.4287,391.6908,86.1131
-0.9524,-1.9279,392.3405,87.4530
-1.1893,-1.8324,394.8877,86.0874
-0.9524,-2.3592,395.1900,84.6421
-1.4284,-3.0402,395.4795,73.5145
-1.1893,-1.5334,398.5240,88.1870
-1.0079,-3.0643,399.0252,79.3243
2.7640,0.6144,399.8952,114.3254
-1.5279,-3.0826,399.9782,71.6112
-0.9524,-1.5645,400.0013,89.6982
-1.9079,-1.0697,400.2555,86.5910
2.9757,0.2375,401.3510,111.6696
-1.4737,-0.9908,403.0661,89.9762
-1.1905,-1.8324,406.1767,86.0773
-1.4908,-0.6111,410.0531,92.2804
1.4888,0.9129,413.6735,109.5910
-0.9524,-2.4287,416.6045,84.1822
-1.0435,-1.8324,417.7498,87.3192
2.5057,0.2595,419.9941,109.9502
1.9408,0.9129,421.2300,112.3008
1.6299,0.5057,421.8897,107.7472
-0.9626,-2.4287,424.4267,84.0763
-0.9524,-2.4287,428.1562,84.1822
2.3113,0.6496,443.8279,112.2312
3.5030,0.2537,453.1315,113.7525
-1.0060,-1.8324,454.3650,87.6261
-0.4686,-3.3528,459.5380,84.4636
2.7293,0.6144,465.6749,114.1436
-1.0444,-2.4764,466.1454,82.8780
-0.6109,-2.5876,468.9940,86.6377
-1.0879,-1.6671,471.5894,88.0594
1.6756,1.5105,477.8039,115.4989
-1.0079,-3.0643,478.3495,79.3243
-0.9524,-2.7567,479.7935,82.0198
-1.5279,-3.0826,479.8321,71.6112
-1.8232,-2.7432,480.9751,70.3432
2.7293,1.2549,482.6050,121.5183
0.0180,-2.7872,486.2555,91.0913
-1.0372,-2.6330,486.7109,81.8651
-1.1893,-1.9164,486.8465,85.4758
2.7293,0.3897,489.1625,112.0069
-1.1148,-3.1947,489.6995,76.9920
-0.6591,-2.9457,492.2540,84.2485
-3.3508,-2.2132,493.0424,56.7878
-0.9524,-3.1947,500.7867,79.2514
3.3808,0.5206,502.3335,116.2534
-1.3588,-3.1947,505.0690,73.3428
-1.5279,-3.0826,508.5030,71.6112
-1.5279,-2.9758,512.3384,72.5550
1.9935,0.6144,513.0206,110.2561
-0.9524,-3.0222,514.2206,80.3149
-2.5410,-2.2132,523.2645,66.8967
-0.9524,-2.3592,529.6369,84.6421
-2.3988,-2.6369,529.9443,62.7815
-0.9524,-3.1947,533.5308,79.2514
-1.3690,-3.3693,541.9910,71.8607
-1.6793,-3.1104,544.0016,68.9102
-1.0079,-2.7432,549.0234,81.4535
1.9100,-0.0119,549.8302,105.9455
-1.1036,-2.3063,551.3183,83.4592
-0.6066,-3.0643,551.4433,84.2243
-1.5829,-3.0402,555.6317,71.1194
-1.0079,-3.0643,556.0591,79.3243
-1.6727,-2.6902,557.6738,73.1103
-1.4284,-3.0402,559.6489,73.5145
-0.9524,-2.3592,561.8132,84.6421
-1.6206,-3.6097,566.6915,65.6473
-1.0684,-1.9095,566.8841,86.5906
-1.0173,-1.7278,568.5760,88.2108
-1.5323,-1.8374,572.3223,82.9110
-1.5279,-3.0826,576.5025,71.6112
-3.3508,-2.2132,577.3469,56.7878
-1.8700,-2.7432,578.4119,69.6337
-1.2510,-2.9125,579.8185,77.1057
-3.0538,-2.2132,580.0381,60.3289
-0.8967,-3.0402,580.1142,80.9115
-1.8145,-2.9457,584.8933,68.3329
-1.4794,-2.9758,590.1612,73.2904
-3.8104,-2.2132,592.7258,52.0303
-1.5279,-2.5138,593.3028,76.7873
-0.5644,-3.6071,594.5355,82.2792
-2.3988,-2.2132,601.1694,68.7529
-1.8232,-2.7432,604.1233,70.3432
-1.0079,-2.7432,612.7822,81.4535
-1.8232,-2.7432,612.9118,70.3432
-1.3690,-3.3693,613.8517,71.8607
-1.0079,-2.7432,614.2790,81.4535
-3.5301,-2.4870,618.5870,49.2445
-2.5410,-2.2132,623.2767,66.8967
-0.9524,-2.9457,626.7511,80.7988
-2.0492,-2.2132,630.4769,73.2588
-1.0079,-3.0138,630.7841,79.6521
-1.8535,-2.2132,632.3388,75.7034
-1.6211,-3.3693,633.1633,67.5818
-1.5279,-3.0826,634.1347,71.6112
-1.4090,-3.0476,634.7775,73.7471
-1.6645,-3.0818,635.3835,69.4231
-1.5097,-2.7432,635.6676,74.9209
-1.3690,-3.4205,640.3670,71.4872
-3.8104,-2.3427,644.7561,49.2467
-3.3508,-2.3592,646.4553,53.9568
-4.0916,-2.2132,648.0456,49.7104
-1.3690,-3.3693,648.1137,71.8607
-2.2001,-3.6097,653.2262,54.2450
-1.8300,-3.4234,653.4747,63.3223
-3.3508,-2.2109,655.2333,56.8310
-2.4626,-2.2132,655.7757,67.9208
-1.8145,-2.9457,656.7868,68.3329
-4.2604,-2.2132,656.9242,48.5780
-1.9558,-1.8995,661.0257,77.9645
-1.2576,-2.7432,663.4516,78.3365
-1.0277,-3.2016,667.8315,78.1775
-2.3633,-2.6369,669.9223,63.3315
-2.4353,-3.0806,670.0901,56.0038
-3.3508,-2.2132,674.4665,56.7878
-1.8145,-2.9457,676.8146,68.3329
-3.5301,-2.4870,683.2550,49.2445
-3.5301,-2.4870,685.7124,49.2445
-1.6082,-2.1287,690.1734,79.4520
-1.6644,-3.3693,694.0028,66.8171
-3.3508,-2.2132,694.2357,56.7878
-1.8700,-2.7432,695.7325,69.6337
-1.3690,-2.7663,697.7560,76.6658
-3.6148,-2.1061,700.4122,56.1144
-3.8104,-1.8643,700.7451,59.3410
-3.2913,-2.2132,703.7357,57.4738
-4.0916,-2.2931,704.8065,47.9124
-3.8104,-1.9773,705.5022,57.0130
-1.8700,-2.9676,705.7459,67.1976
-4.2604,-1.9425,707.4712,54.6921
-3.8138,-2.1906,707.5498,52.4811
-2.7860,-3.1523,708.0422,48.5900
-3.8104,-2.2737,708.5246,50.7325
-4.2604,-2.2132,710.4363,48.5780
-3.8104,-1.7870,710.5885,60.9076
-1.6979,-2.5554,711.8542,74.1155
-2.0397,-2.9457,712.0643,64.6202
-2.3988,-1.8505,716.7970,73.7096
-3.5301,-2.3238,719.9744,52.5703
-2.3988,-2.6369,723.6966,62.7815
-4.2604,-1.8463,725.1197,56.8068
-3.6506,-2.2132,726.0939,53.5626
-4.2604,-2.2132,731.2543,48.5780
-3.6339,-2.3427,732.4995,51.0454
-4.1286,-2.2132,733.2538,49.4447
-3.2021,-2.2132,734.9569,58.5253
-2.3988,-2.7325,738.9902,61.4374
-3.1507,-2.8807,741.7881,46.8987
-3.8104,-2.3427,745.1475,49.2467
-3.2169,-2.3421,746.0089,55.9422
-4.0916,-1.5796,751.0235,63.2872
-4.2604,-2.2132,752.7189,48.5780
-4.0916,-2.2132,756.5266,49.7104
-3.6863,-2.6169,756.6322,44.7031
-4.3134,-2.3449,759.0142,45.2112
