x0,x1,Duration
2.3573,-0.3484,14.4549
-0.8888,-2.0423,16.9153
-0.9531,-0.5144,15.7576
-2.0007,1.1066,15.3108
-0.8659,0.6475,15.1579
-0.7793,0.2586,15.2804
0.9796,0.4829,14.5411
0.5485,-0.9766,15.2324
-1.6261,0.6667,15.3959
-1.1775,1.8236,14.9017
0.9892,-0.2555,14.8375
0.7667,-1.1760,15.2128
0.3534,-1.3665,15.4574
0.6724,0.1368,14.8015
1.0579,-0.1397,14.7718
-1.3820,-2.0701,17.6418
-0.4775,-0.8654,15.6861
-0.1710,1.1072,14.7672
-2.0293,-1.3193,17.4969
-0.0430,1.5934,14.5482
-1.2415,-1.4953,16.7984
-1.3089,-0.3750,15.8700
-1.1578,2.4685,14.7648
0.4663,-1.6864,15.5167
0.5267,-1.3020,15.3521
-0.1198,2.4836,14.2852
1.0821,-0.7553,14.9771
-1.3364,0.8056,15.2472
-2.1535,-0.3594,16.3840
-0.0102,-0.0933,15.1298
-0.8730,-1.4413,16.3713
0.4387,0.7639,14.6482
2.7919,-2.2124,14.9571
-2.0928,-2.0217,18.7485
1.1245,-1.1788,15.0902
-0.1058,0.6392,14.9020
-0.0324,-0.6942,15.3742
2.3693,1.8465,12.4101
-0.1111,0.1786,15.0667
0.4173,1.3753,14.4041
-1.8045,-0.7348,16.5285
0.5860,-1.7695,15.4825
0.7693,-0.7627,15.0812
0.8561,0.0398,14.7728
-0.1809,-1.3527,15.7610
0.7042,-1.6930,15.3996
-0.7041,1.7938,14.7600
2.9784,0.2501,13.8240
-2.7805,0.0201,16.3361
1.0784,-3.2619,15.6006
-2.0081,1.0532,15.3343
1.1095,-1.5142,15.1865
-1.1820,-0.7907,16.1004
-0.7867,0.5667,15.1614
0.0008,1.6552,14.5053
-0.2392,-0.0611,15.2043
1.7694,-1.9893,15.0987
-0.8103,-1.3944,16.2763
0.4278,0.1248,14.8933
1.0929,-0.1812,14.7758
-1.5403,0.4070,15.4949
-0.3223,-0.7783,15.5544
-1.4728,0.5108,15.4185
0.8394,-0.7344,15.0483
-1.7010,0.4572,15.5269
-0.7549,0.6441,15.1225
-0.3523,-2.1308,16.3617
-1.9515,0.5612,15.5574
-0.3285,0.2700,15.1115
0.9608,-0.3995,14.8976
0.8758,2.3113,13.5748
-1.3654,2.2567,14.8630
3.7254,0.2280,13.5835
-1.6541,-1.4246,17.1922
-1.1944,1.1080,15.0999
1.3322,2.2452,13.1516
1.4552,-0.2102,14.6682
0.9224,1.2027,14.2074
